"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Afghanistan","2020","US$","508.4537219370937"
"Africa","2020","US$","1803.5152185473876"
"Albania","2020","US$","5180.914197603914"
"Algeria","2020","US$","3367.963002897193"
"Americas","2020","US$","26574.76741987414"
"Andorra","2020","US$","37072.405384370075"
"Angola","2020","US$","1895.77070283724"
"Anguilla","2020","US$","17225.937528543673"
"Antigua and Barbuda","2020","US$","13993.320179434608"
"Argentina","2020","US$","8475.72958198985"
"Armenia","2020","US$","4266.005478647835"
"Aruba","2020","US$","23385.63867077555"
"Asia","2020","US$","7126.44242278556"
"Australia","2020","US$","55822.712845306814"
"Australia and New Zealand","2020","US$","53938.07303257604"
"Austria","2020","US$","48105.631982565596"
"Azerbaijan","2020","US$","4202.232239420245"
"Bahamas","2020","US$","25194.28919703797"
"Bahrain","2020","US$","19925.001598956664"
"Bangladesh","2020","US$","2000.6401571941901"
"Barbados","2020","US$","15449.23700217486"
"Belarus","2020","US$","6377.055431709857"
"Belgium","2020","US$","45028.3234050509"
"Belize","2020","US$","3987.7263937650264"
"Benin","2020","US$","1254.2125894760816"
"Bermuda","2020","US$","123944.90690131347"
"Bhutan","2020","US$","3217.962934532781"
"Bolivia (Plurinational State of)","2020","US$","3133.1019504554583"
"Bosnia and Herzegovina","2020","US$","6035.475568574754"
"Botswana","2020","US$","6710.960147003652"
"Brazil","2020","US$","6796.844058079729"
"British Virgin Islands","2020","US$","49357.193079951045"
"Brunei Darussalam","2020","US$","27436.74151451828"
"Bulgaria","2020","US$","10058.077407168154"
"Burkina Faso","2020","US$","830.9253368674027"
"Burundi","2020","US$","285.8757818320359"
"Cabo Verde","2020","US$","3064.2765459185825"
"Cambodia","2020","US$","1512.7282884995323"
"Cameroon","2020","US$","1502.3280624659778"
"Canada","2020","US$","43559.710091831425"
"Caribbean","2020","US$","8821.866575337739"
"Cayman Islands","2020","US$","95190.93250591682"
"Central African Republic","2020","US$","481.016461953413"
"Central America","2020","US$","7392.29921946349"
"Central Asia","2020","US$","3865.6374906066108"
"Chad","2020","US$","679.0672838447488"
"Chile","2020","US$","13231.709642446001"
"China (mainland)","2020","US$","10228.970558083261"
"China, Hong Kong SAR","2020","US$","46611.39103999458"
"China, Macao Special Administrative Region","2020","US$","37473.75326215613"
"Colombia","2020","US$","5332.772790492891"
"Comoros","2020","US$","1420.6519050235333"
"Congo","2020","US$","1830.3824909765372"
"Cook Islands","2020","US$","16134.97794832918"
"Costa Rica","2020","US$","12076.805960805757"
"Croatia","2020","US$","13934.241955392894"
"Cuba","2020","US$","9477.852873267708"
"Curaçao","2020","US$","15819.210502206357"
"Cyprus","2020","US$","28133.071158911906"
"Czechia","2020","US$","22910.62893736197"
